Belmont ,CA,"24,776"
Wasco ,CA,"24,628"
Barstow ,CA,"24,596"
Desert Hot Springs ,CA,"24,489"
Hercules ,CA,"24,484"
South Pasadena ,CA,"24,446"
Cudahy ,CA,"24,334"
Seal Beach ,CA,"24,127"
Lemon Grove ,CA,"24,089"
Galt ,CA,"24,026"
Laguna Beach ,CA,"23,995"
Lemoore ,CA,"23,873"
San Fernando ,CA,"23,833"
Reedley ,CA,"23,439"
South Lake Tahoe ,CA,"23,333"
Selma ,CA,"22,807"
Brawley ,CA,"22,725"
Coronado ,CA,"22,633"
Agoura Hills ,CA,"22,283"
El Cerrito ,CA,"22,222"
Calabasas ,CA,"22,185"
Duarte ,CA,"21,839"
Blythe ,CA,"21,727"
Loma Linda ,CA,"21,601"
Port Hueneme ,CA,"21,478"
South El Monte ,CA,"21,397"
Millbrae ,CA,"20,800"
La Ca§ada Flintridge ,CA,"20,671"
Riverbank ,CA,"20,606"
Yucca Valley,CA,"20,375"
Dinuba ,CA,"20,335"
Oakdale ,CA,"20,299"
Lomita ,CA,"20,156"
Hermosa Beach ,CA,"19,350"
Chowchilla ,CA,"19,193"
Patterson ,CA,"19,034"
Coalinga ,CA,"18,974"
Pinole ,CA,"18,808"
Orinda ,CA,"18,445"
Laguna Woods ,CA,"18,170"
Marina ,CA,"17,943"
Dixon ,CA,"17,412"
Susanville ,CA,"17,336"
Lathrop ,CA,"17,197"
Arroyo Grande ,CA,"17,180"
Santa Fe Springs ,CA,"17,159"
Avenal ,CA,"17,147"
Moraga,CA,"17,050"
Arcata ,CA,"17,044"
Rancho Mirage ,CA,"16,714"
American Canyon ,CA,"16,315"
Artesia ,CA,"16,244"
El Segundo ,CA,"16,217"
Truckee,CA,"16,185"
Albany ,CA,"16,004"
Shafter ,CA,"15,800"
La Palma ,CA,"15,603"
Hawaiian Gardens ,CA,"15,229"
Greenfield ,CA,"15,222"
Arvin ,CA,"15,070"
Fillmore ,CA,"15,053"
Clearlake ,CA,"15,040"
Ukiah ,CA,"14,956"
Oroville ,CA,"14,684"
Pacific Grove ,CA,"14,601"
California City ,CA,"14,556"
Ripon ,CA,"14,473"
Red Bluff ,CA,"14,025"
Carpinteria ,CA,"13,655"
Imperial ,CA,"13,648"
Palos Verdes Estates ,CA,"13,585"
Commerce ,CA,"13,435"
Livingston ,CA,"13,400"
Parlier ,CA,"13,273"
Mill Valley ,CA,"13,268"
Auburn ,CA,"13,219"
Grover Beach ,CA,"13,131"
Malibu ,CA,"13,009"
Solana Beach ,CA,"12,825"
San Marino ,CA,"12,808"
Kerman ,CA,"12,737"
Half Moon Bay ,CA,"12,449"
Grass Valley ,CA,"12,232"
Grand Terrace ,CA,"12,204"
McFarland ,CA,"12,098"
San Anselmo,CA,"11,986"
Tehachapi ,CA,"11,736"
Marysville ,CA,"11,700"
Larkspur ,CA,"11,693"
Los Alamitos ,CA,"11,656"
King City ,CA,"11,627"
Fortuna ,CA,"11,329"
Clayton ,CA,"11,278"
Canyon Lake ,CA,"11,243"
Scotts Valley ,CA,"11,128"
Kingsburg ,CA,"11,064"
Healdsburg ,CA,"10,971"
Signal Hill ,CA,"10,882"
Hillsborough,CA,"10,844"
Sierra Madre ,CA,"10,834"
Orange Cove ,CA,"10,641"
Lindsay ,CA,"10,571"
Anderson ,CA,"10,538"
Piedmont ,CA,"10,481"
Mendota ,CA,"10,339"
Morro Bay ,CA,"10,333"
Newman ,CA,"10,226"
Shasta Lake ,CA,"10,192"
Farmersville ,CA,"10,056"
Placerville ,CA,"9,994"
Exeter ,CA,"9,963"
Sonoma ,CA,"9,893"
Capitola ,CA,"9,612"
Emeryville ,CA,"9,583"
Corte Madera,CA,"9,245"
Taft ,CA,"9,147"
Waterford ,CA,"8,875"
Tiburon,CA,"8,676"
Los Altos Hills,CA,"8,592"
Pismo Beach ,CA,"8,573"
Gonzales ,CA,"8,537"
Westlake Village ,CA,"8,469"
Live Oak ,CA,"8,245"
Cloverdale ,CA,"8,153"
Rolling Hills Estates ,CA,"7,860"
Crescent City ,CA,"7,852"
Rio Vista ,CA,"7,804"
Ojai ,CA,"7,775"
Huron ,CA,"7,606"
Calipatria ,CA,"7,594"
Sebastopol ,CA,"7,518"
Ione ,CA,"7,480"
Calimesa ,CA,"7,454"
Woodlake ,CA,"7,418"
Atherton,CA,"7,406"
Mammoth Lakes,CA,"7,402"
Yreka ,CA,"7,368"
Escalon ,CA,"7,271"
Corning ,CA,"7,207"
Orland ,CA,"7,174"
Cotati ,CA,"7,169"
Sausalito ,CA,"7,158"
Fairfax,CA,"7,066"
Winters ,CA,"6,977"
Firebaugh ,CA,"6,972"
Loomis,CA,"6,795"
Fort Bragg ,CA,"6,604"
Guadalupe ,CA,"6,593"
Gridley ,CA,"6,478"
Hughson ,CA,"6,312"
Willows ,CA,"6,266"
Big Bear Lake ,CA,"6,131"
Villa Park ,CA,"5,967"
La Habra Heights ,CA,"5,893"
Colusa ,CA,"5,892"
St. Helena ,CA,"5,817"
Woodside,CA,"5,579"
Fowler ,CA,"5,563"
Holtville ,CA,"5,412"
Needles ,CA,"5,246"
Calistoga ,CA,"5,179"
Indian Wells ,CA,"5,177"
Solvang ,CA,"5,148"
Lakeport ,CA,"5,142"
Gustine ,CA,"5,094"
Willits ,CA,"4,972"
Dos Palos ,CA,"4,948"
Williams ,CA,"4,760"
Sonora ,CA,"4,559"
Portola Valley,CA,"4,532"
Del Mar ,CA,"4,447"
Jackson ,CA,"4,320"
Denver ,CO,"598,707"
Colorado Springs ,CO,"380,307"
Aurora ,CO,"319,057"
Lakewood ,CO,"140,989"
Fort Collins ,CO,"136,509"
Thornton ,CO,"113,429"
Arvada ,CO,"107,361"
Westminster ,CO,"107,056"
Pueblo ,CO,"104,951"
Centennial ,CO,"99,680"
Boulder ,CO,"94,171"
Greeley ,CO,"91,492"
Longmont ,CO,"85,928"
Loveland ,CO,"65,587"
Broomfield ,CO,"54,858"
Grand Junction ,CO,"49,688"
Castle Rock,CO,"44,369"
Parker,CO,"43,767"
Commerce City ,CO,"42,473"
Littleton ,CO,"40,777"
Northglenn ,CO,"33,697"
Englewood ,CO,"32,669"
Brighton ,CO,"31,380"
Wheat Ridge ,CO,"30,894"
Lafayette ,CO,"25,065"
Fountain ,CO,"19,669"
Louisville ,CO,"19,133"
Evans ,CO,"18,842"
Windsor,CO,"18,058"
Montrose ,CO,"17,989"
Golden ,CO,"17,321"
Erie,CO,"16,432"
Durango ,CO,"16,416"
Ca§on City ,CO,"15,889"
Greenwood Village ,CO,"14,230"
Sterling ,CO,"12,800"
Federal Heights ,CO,"11,732"
Superior,CO,"10,549"
Fort Morgan ,CO,"10,539"
Steamboat Springs ,CO,"9,592"
Lone Tree ,CO,"9,348"
Johnstown,CO,"9,309"
Craig ,CO,"9,241"
Rifle ,CO,"9,202"
Trinidad ,CO,"9,125"
Glenwood Springs ,CO,"9,053"
Delta ,CO,"9,020"
Alamosa ,CO,"8,745"
